,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
597,3.9334463278452554,0.01683938595640245,0.17674875259399414,0.004904061038519453,entropy,12,0.75,3,4,128,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.75, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 128}",0.7862276449941502,0.7901852779168753,0.7815028901734105,0.785971937694812,0.0035491786748644005,257
598,6.180123488108317,0.058944148719982936,0.2656705379486084,0.008489501292146866,entropy,12,0.75,3,4,200,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.75, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 200}",0.7865955318439481,0.7879093198992443,0.7809239940387481,0.7851429485939803,0.0030310826358354447,269
599,9.647537151972452,0.08030568223511807,0.4000999927520752,0.004394770571826669,entropy,12,0.75,3,4,300,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.75, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 300}",0.787563025210084,0.7907054496823804,0.7839179351422899,0.7873954700115848,0.0027735229662402476,222
600,2.6479056676228843,0.06717488660390501,0.11982313791910808,0.006370052623744667,entropy,12,0.8,1,2,80,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 80}",0.7915824915824916,0.7979412253030052,0.7815863553568473,0.7903700240807813,0.006731666500996719,164
601,4.142718394597371,0.02256141475169162,0.1764399210611979,0.0030712211435803155,entropy,12,0.8,1,2,128,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 128}",0.7925738396624473,0.7944565035899148,0.7835325365205843,0.7901876265909822,0.004768212365920647,167
602,6.419208367665608,0.04714656703607528,0.2684895197550456,0.0026806989327810386,entropy,12,0.8,1,2,200,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7930624043530012,0.7915276851234155,0.7847129506008009,0.7897676800257393,0.0036287332911929364,174
603,9.673655351003012,0.06076986404460547,0.40725167592366535,0.00563864094439077,entropy,12,0.8,1,2,300,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.7933130699088146,0.7919732441471572,0.785987049643035,0.7904244545663356,0.0031850384725985504,162
604,2.543541193008423,0.05400244921745171,0.11258347829182942,0.0004426918928334897,entropy,12,0.8,1,4,80,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 80}",0.7940238375020984,0.7910770767437989,0.7838107928047968,0.7896372356835647,0.00429196359151396,178
605,4.128925720850627,0.013134530723861906,0.17473753293355307,0.0015612101787794493,entropy,12,0.8,1,4,128,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 128}",0.7936026936026936,0.7888260724975059,0.781281115167607,0.7879032937559355,0.005072406676481338,210
606,6.960596640904744,0.200648697888187,0.27708617846171063,0.001611655189384671,entropy,12,0.8,1,4,200,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 200}",0.7914779399429627,0.793305439330544,0.7844899317690132,0.7897577703475066,0.003798906067953457,175
607,9.774829228719076,0.21863062731787689,0.40587623914082843,0.009247384686948783,entropy,12,0.8,1,4,300,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.8, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 300}",0.7936668351019033,0.7906664428403559,0.7865803022753695,0.7903045267392095,0.0029043615848796667,166
608,2.5619606971740723,0.011405387252994907,0.11541215578715007,0.000986288786420412,entropy,12,0.8,2,2,80,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 80}",0.7865996649916248,0.7859169030535625,0.7846383049164047,0.7857182909871975,0.0008129446069059522,262
609,4.199510097503662,0.044947293065737914,0.18023014068603516,0.0027813095783521128,entropy,12,0.8,2,2,128,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 128}",0.785967279473773,0.7903849386451504,0.7813333333333333,0.785895183817419,0.003695654025832454,258
610,6.430989583333333,0.04566913120109998,0.2735416889190674,0.006900755675776307,entropy,12,0.8,2,2,200,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.7908937605396289,0.7915347442092985,0.783114508891474,0.7885143378801338,0.0038272122009171366,201
611,9.637421290079752,0.010542256128698533,0.4010907808939616,0.006167490362053374,entropy,12,0.8,2,2,300,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.7902981303688732,0.7903171953255427,0.7793800762473064,0.786665133980574,0.005151319604459005,244
612,2.636850118637085,0.044460904543365376,0.11354573567708333,0.001555149757751446,entropy,12,0.8,2,4,80,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 80}",0.7872983870967742,0.7918190887928167,0.7830863992009323,0.787401291696841,0.0035658480893599417,221
613,4.262178182601929,0.14359238732984475,0.20620409647623697,0.03590269441547569,entropy,12,0.8,2,4,128,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 128}",0.7858472998137803,0.7906432748538011,0.7790174854288094,0.7851693533654637,0.004770356623891003,268
614,6.780585130055745,0.277968979962724,0.27172144254048664,0.0009892247890146825,entropy,12,0.8,2,4,200,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 200}",0.7926808796374014,0.787817938420348,0.7870477449198746,0.789182187659208,0.0024938502595717406,185
615,9.64925750096639,0.08182289783204953,0.41956448554992676,0.009700331271579253,entropy,12,0.8,2,4,300,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 300}",0.7893847194050034,0.7884679852497485,0.7838062054089928,0.7872196366879148,0.0024425035243639585,226
616,2.5834527810414634,0.056776274627332625,0.11268377304077148,0.0032433797578874535,entropy,12,0.8,3,2,80,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.8, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 80}",0.784788827191654,0.7879192391122978,0.7821635012386456,0.7849571891808657,0.0023527840157434644,272
617,4.058626174926758,0.019502947620481947,0.17461442947387695,0.0003104182432202582,entropy,12,0.8,3,2,128,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.8, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 128}",0.7871700634814567,0.7879089852184021,0.7796385342397613,0.7849058609798734,0.0037367588070998633,273
618,6.400739590326945,0.017417230930652595,0.2678372859954834,0.0052591690373819,entropy,12,0.8,3,2,200,"{'criterion': 'entropy', 'max_depth': 12, 'max_samples': 0.8, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 200}",0.7889354568315172,0.786479250334672,0.7825078681464303,0.7859741917708732,0.002648243089397754,256
